title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Location,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Travel group,reviewContext/Trip type,reviewDetailedRating/Rooms,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25,reviewImageUrls/26,reviewImageUrls/27,reviewImageUrls/28,reviewImageUrls/29,reviewImageUrls/30,reviewImageUrls/31,reviewImageUrls/32
Underdogs Too,5,I love this place !,2024-04-23T13:49:32.320Z,0,Alexis Rivera,5,FALSE,,,a day ago,,Dinner,,$20–30,,Take out,5,5,,5,ChZDSUhNMG9nS0VJQ0FnSUNqMmNqMWJ3EAE,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNqMmNqMWJ3EAE!2m1!1s0x0:0xae566943c4f27382!3m1!1s2@1:CIHM0ogKEICAgICj2cj1bw%7CCgwI7PiesQYQ2NbLmAE%7C?hl=en,118204448129502060763,https://lh3.googleusercontent.com/a-/ALV-UjXroygo60AUQb2_rNlqEl8OFEiw2wt7gdxgdiPtVz--otekUriV=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/118204448129502060763?hl=en,,,,,,,,,,,,,,,,,,
Underdogs Too,5,Food was yummy. Crew was off the hook. friendly and professional,2024-04-22T01:18:40.796Z,0,Walter Dolney,31,TRUE,2024-04-22T19:17:52.629Z,"Thanks for the 5-star review, Walter! We're happy to hear you enjoyed our food and received excellent service. We hope to see you again soon!",2 days ago,,Lunch,,$10–20,Somewhat recommend,Dine in,5,5,,5,ChdDSUhNMG9nS0VJQ0FnSUNqbnNHOHR3RRAB,https://lh5.googleusercontent.com/p/AF1QipMWi1B2UWeFGbBPqfPV5dZH3soiwXhjJhS0cJQk=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNqbnNHOHR3RRAB!2m1!1s0x0:0xae566943c4f27382!3m1!1s2@1:CIHM0ogKEICAgICjnsG8twE%7CCgwI8PWWsQYQiJnM-wI%7C?hl=en,105222659423011055739,https://lh3.googleusercontent.com/a/ACg8ocLbJNCsIgqzhbVNESwe3uFahxM2-jno-KzTSbmDL7fymzKh4A=s120-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/105222659423011055739?hl=en,,,,,,,,,,,,,,,,,,
Underdogs Too,5,"If you’re searching for the place where the prices are still reasonable and the quality of food together with the service are on the high level - this is exactly the place you want to go. We had shrimp gulf burrito and San Francisco burrito with stake. Both with fresh veggies and extremely delicious protein.
Our waitress was super nice and happy to give some local hints
Totally recommend :)",2024-04-15T04:56:57.369Z,0,Kasia Dural,16,TRUE,2024-04-15T18:39:47.642Z,"Thank you for the 5-star review, Kasia! We're happy to hear you enjoyed our food and received excellent service. We hope to see you again soon!",a week ago,,Lunch,,$10–20,Somewhat recommend,Dine in,5,5,,5,ChZDSUhNMG9nS0VJQ0FnSUREcC15MkdBEAE,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUREcC15MkdBEAE!2m1!1s0x0:0xae566943c4f27382!3m1!1s2@1:CIHM0ogKEICAgIDDp-y2GA%7CCgwImefysAYQwOOrsAE%7C?hl=en,100149614467630583834,https://lh3.googleusercontent.com/a-/ALV-UjV01fstZPWG22MncgIOE3-msh_6eg-cNxdoMHXDWyq5MOPGvS_G=s120-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/100149614467630583834?hl=en,,,,,,,,,,,,,,,,,,
Underdogs Too,5,"Food is delish, staff is super friendly and attentive and the vibe of the place is great!",2024-04-07T15:30:05.347Z,0,Alexa Guedez,9,FALSE,2024-04-08T19:00:20.819Z,"Thanks for the 5-star review, Alexa! We're happy to hear you enjoyed our food and had a great experience with our team. We hope to see you again soon!",2 weeks ago,,Dinner,,$20–30,,Dine in,5,5,,5,ChZDSUhNMG9nS0VJQ0FnSUREMG9mNWVBEAE,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUREMG9mNWVBEAE!2m1!1s0x0:0xae566943c4f27382!3m1!1s2@1:CIHM0ogKEICAgIDD0of5eA%7CCgwI_ffKsAYQsI_OpQE%7C?hl=en,105292784789178335357,https://lh3.googleusercontent.com/a-/ALV-UjWi3eAwjm2le8--MDmtkCQjcN-almF9_QrcC4-86wLcjXFrjkA=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/105292784789178335357?hl=en,,,,,,,,,,,,,,,,,,
Underdogs Too,5,"Do yourself a favor, get the cheeseburger burrito, add cabbage, baja sauce and enjoy.",2024-04-06T23:12:03.354Z,0,Yohan Lejosne,81,TRUE,2023-06-22T20:20:10.268Z,"Thanks for the 5-stars, Yohan! We're happy to hear you were able to try our Cheeseburger Burrito and enjoyed it. We hope to serve you again soon!",2 weeks ago,,Lunch,,$20–30,,Dine in,4,5,,4,ChZDSUhNMG9nS0VJQ0FnSURlaGZ2cEtBEAE,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlaGZ2cEtBEAE!2m1!1s0x0:0xae566943c4f27382!3m1!1s2@1:CIHM0ogKEICAgIDehfvpKA%7CCgwIw63HsAYQyJ7nqAE%7C?hl=en,108152479185666395696,https://lh3.googleusercontent.com/a-/ALV-UjWtEYRkbsyPnpcePgPI7byKAVyL3xgn-A0RuIKNBoPCuSXQqu_9=s120-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/108152479185666395696?hl=en,,,,,,,,,,,,,,,,,,
Underdogs Too,5,Raved about the place to my gf that night!! Def be taking her there!!,2024-04-04T01:24:10.637Z,0,Richard Sheehy,61,TRUE,2024-04-08T19:00:15.510Z,"Thanks for the 5-star review, Richard! We're happy to hear you had a great experience and we look forward to seeing you again soon.",2 weeks ago,,Lunch,,$20–30,,Dine in,5,5,,5,ChZDSUhNMG9nS0VJQ0FnSUNEX19Ub0V3EAE,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNEX19Ub0V3EAE!2m1!1s0x0:0xae566943c4f27382!3m1!1s2@1:CIHM0ogKEICAgICD__ToEw%7CCgwIuoK4sAYQ2IbrrwI%7C?hl=en,112945135602055514765,https://lh3.googleusercontent.com/a-/ALV-UjUOXTA11pjIhDoioEVzfrcPNRCho1W1uKYbwPxVehmmAEtpmQI=s120-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/112945135602055514765?hl=en,,,,,,,,,,,,,,,,,,
Underdogs Too,4,,2024-04-03T22:39:34.726Z,0,Tejas Shah,63,TRUE,,,2 weeks ago,,Dinner,,$20–30,Somewhat recommend,Dine in,4,4,,4,ChdDSUhNMG9nS0VJQ0FnSUNEdi1ybHNBRRAB,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNEdi1ybHNBRRAB!2m1!1s0x0:0xae566943c4f27382!3m1!1s2@1:CIHM0ogKEICAgICDv-rlsAE%7CCgwIprW3sAYQ6Pyw2gI%7C?hl=en,107400324792990062200,https://lh3.googleusercontent.com/a-/ALV-UjU0Su7qH-fU-d0p2jBKD4tVSqcztybseasrYkv4H8aWkhPnTDoKlw=s120-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/107400324792990062200?hl=en,,,,,,,,,,,,,,,,,,
Underdogs Too,5,"My partner and I are weekend regulars, they have great breakfast burritos but what really makes it incredible are their red and green sauce.",2024-04-03T08:45:36.494Z,0,Yvonne Chen,21,TRUE,2023-04-24T18:43:45.504Z,"Thanks for the 5-star review, Yvonne! We're happy to hear you and your partner are weekend regulars and that you enjoy our delicious burritos and sauces. We look forward to serving you again soon!",3 weeks ago,,Breakfast,,$10–20,Highly recommend,Dine in,5,5,,5,ChdDSUhNMG9nS0VJQ0FnSURSMU9TTDl3RRAB,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSMU9TTDl3RRAB!2m1!1s0x0:0xae566943c4f27382!3m1!1s2@1:CIHM0ogKEICAgIDR1OSL9wE%7CCgwIsK60sAYQqKfh6wE%7C?hl=en,103336434357851779269,https://lh3.googleusercontent.com/a-/ALV-UjUmDN3QLd4v6rfRR4mohHpc6KlTE3UKVqgAdSvDQaOuSR65-B4k=s120-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/103336434357851779269?hl=en,,,,,,,,,,,,,,,,,,
Underdogs Too,4,"Tacos nicks way are unique and delicious! Service was a bit slow, but a great place to stop by if near Golden Gate Park!",2024-04-03T04:09:24.022Z,0,Robert Stanford,2,FALSE,2024-04-08T18:59:52.075Z,"Thanks for the 4-star review, Robert! We're happy to hear you enjoyed our unique and delicious tacos and we hope to see you again soon. Take care!",3 weeks ago,,Lunch,,,,Dine in,5,5,,4,ChZDSUhNMG9nS0VJQ0FnSUNEdDkyVVJ3EAE,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNEdDkyVVJ3EAE!2m1!1s0x0:0xae566943c4f27382!3m1!1s2@1:CIHM0ogKEICAgICDt92URw%7CCgsI9KyzsAYQ2NfUCg%7C?hl=en,100863486469895230226,https://lh3.googleusercontent.com/a/ACg8ocLKzpaeLqaX-X0wKAbYsk7n4ReBl4EHUmBg2J4n_uNMhj_ZAg=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/100863486469895230226?hl=en,,,,,,,,,,,,,,,,,,
Underdogs Too,5,Very fast friendly servers. Food hot and yummy.,2024-04-02T20:20:32.185Z,0,Sirina Kelly,42,TRUE,2024-04-02T20:47:16.527Z,"Thanks for the 5-star review, Sirina! We're happy to hear you had a great experience and we hope to see you again soon.",3 weeks ago,,,,,,,5,5,,5,ChdDSUhNMG9nS0VJQ0FnSUNENS1fRjJBRRAB,https://lh5.googleusercontent.com/p/AF1QipNNEt0tzrXU_UGxamzzMXbb6y0ztwMT4byhe-NI=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO4vqKMXVUYnTMVeKJAmXnSrelCxx4WViF1BFqA=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNENS1fRjJBRRAB!2m1!1s0x0:0xae566943c4f27382!3m1!1s2@1:CIHM0ogKEICAgICD5-_F2AE%7CCgsIkNGxsAYQoMG6WA%7C?hl=en,114265419233092061458,https://lh3.googleusercontent.com/a-/ALV-UjXZu9R9lZQSDEbywBHHAcP3-Pli_PpUQthC1w2h9SSb2JhUOIVb=s120-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/114265419233092061458?hl=en,,,,,,,,,,,,,,,,,,
